bug_id,creation_ts,Assignee,Description
1521,10/10/2001 22:14,eclipse,"StringBuffer representation (1GE3BFA) JGS (5/21/01 2:09:10 PM)	To be consistent should we represent StringBuffer objects in the variables view like	we do Strings with their values shown on the top node so the user doesn't have to	expand the object and look at the char array?DW (5/21/01 6:33:02 PM)	Deferred - requires an evaluation."
1681,10/10/2001 22:17,darin.eclipse,"make Java Debug UI a seperate plugin (1GIGG3X) DW (8/14/01 10:33:38 AM)	The Java Debug UI launching and Snippet Editor should be in a seperate plugin."
1768,10/10/2001 22:19,jared_burns,"Variables view stays empty with stack frame selected (1GLE8PW) 1. Debug a program or two and let them terminated. Keep the	old launches in the debug view.2. Debug a program to a breakpoint such that the stack frame will have	a few variables to display in the variables view.3. With the suspended stack frame selected and variables showing in the	variables view select ""Remove all terminated"" from the debug view.4. Note that the suspended stack frame is properly selected after the	old launches are removed but the variables view is empty.The user must manually reselect the stack frame to force the variablesview to update.NOTES:"
5582,11/6/2001 12:19,darin.eclipse,Keyboard shortcut for run/debug We should have keyboard shortcuts for run & debug.
9790,2/13/2002 16:42,Olivier_Thomann,"Add constructors from superclass inserts in wrong place Build 200202121) Start with following classes:public class A { public A(String s) {} public void foo() {}}public class B {}2) Open an editor on class B3) In the content outline select Override Methods -> foo4) Now select ""Add Constructors From Superclass""The result is below. The constructor gets inserted between the method comment and the method body. This is probably because ""Override Methods"" creates non-javadoc method comments.	/*	 * @see A#foo()	 */	/**	 * Constructor for B.	 * @param s	 */	public B(String s) {		super(s);	}	public void foo() {		super.foo();	}}"
11807,3/20/2002 6:13,kai-uwe_maetzel,print margin w2k and linux 20020319-I: 0) Preferences->Java->Editor 1) Disable print margin 2) Press apply 3) Enable print margin 4) Press apply 5) Observe that the print margin is not displayed in the editor. 6) Press apply again 7) The print margin is displayedThe same problem occurs with pressing 'OK' instead of 'Apply'. The printmargin is drawn when I click into the editor.
12014,3/21/2002 7:21,philippe_mulet,No delta when adding package where src=bin and src!=proj Build 200203191. Create java project Test2. Change build path so that Test has one source folder src and its output folder is also src3. Create package p in srcObserve: The package view is not updated. JDT/Core fails to generate a delta in such case
15684,5/9/2002 17:54,daniel_megert,Invalid Menu Extension on search pages 508Following is an almost useless defect report but it contains all of the information we have.After using the 508 build for some time (and exiting and restarting at least once) we discovered the following text in the console (we don't know exactly when it occurs)(paraphrased error messages)Invalid Menu Extension (path invalid) referencesSubMenu(many messages like the above)I thought this was trivially reproducable but now cannot make it occur at all. Will annotate the defect report with steps when (if) I discover them.
21904,7/25/2002 10:35,daniel_megert,[misc] Can't Ctrl+C copy from class file editor without source The 'Ctrl+C' copy shortcut doesn't work in the Java class file editor (the one which appears when no source is available). The Windows shortcut 'Ctrl+Ins' works correctly.There's also no context menu with 'Copy' on it nor is 'Copy' eabled on the 'Edit' pull down menu. Curiously 'Select All' IS enabled but doesn't seem to do anything.
23171,9/4/2002 14:01,darin.eclipse,Method entry breakpoints on abstract methods Currently you can set method entry breakpoints on abstract methods (in interfaces or otherwise).The breakpoints are installed but never appear to be hit in the manner I would expect: the concrete implementation is entered the breakpoint is hit.What is the intended behavior here?
